province,category,quarter,contract_count,median_value,mean_value,total_value,std_value,reliability_tier,opportunity_score,pct_of_national_spend,value_rank,quarter_label,gauteng_flag,median_value_fmt,total_value_fmt
Mpumalanga,Works,1,5,36118681.0,140669577.2,703347886.0,189260874.06536674,Reliable,8.8752,0.022,130,Q1 (Jan-Mar),0,R36.12M,R703.35M
Free State,Unknown,1,7,18036013.63,46613202.547142856,326292417.83,49815509.82644595,Reliable,8.521,0.01,131,Q1 (Jan-Mar),0,R18.04M,R326.29M
Free State,Services,1,8,13937437.5,51871979.25,414975834.0,102834933.89803128,Reliable,8.3895,0.013,132,Q1 (Jan-Mar),0,R13.94M,R414.98M
Northern Cape,Unknown,4,5,2415000.0,8302468.8,41512344.0,14074641.59076412,Reliable,8.3774,0.001,133,Q4 (Oct-Dec),0,R2.42M,R41.51M
Northern Cape,Goods,3,2,351562690.0,351562690.0,703125380.0,40216429.47940804,Caution,7.084,0.022,134,Q3 (Jul-Sep),0,R351.56M,R703.13M
Mpumalanga,Unknown,3,3,138695509.0,163450550.33333334,490351651.0,174503830.3728933,Caution,6.7492,0.016,135,Q3 (Jul-Sep),0,R138.70M,R490.35M
Free State,Unknown,3,4,91816093.5,224562671.75,898250687.0,332654845.2148062,Caution,6.6007,0.029,136,Q3 (Jul-Sep),0,R91.82M,R898.25M
North West,Goods,4,3,2425898938.0,3880915910.3333335,11642747731.0,4773974309.599277,Caution,6.1587,0.371,137,Q4 (Oct-Dec),0,R2.43B,R11.64B
Mpumalanga,Unknown,2,2,296366796.5,296366796.5,592733593.0,33962581.23801582,Caution,6.1447,0.019,138,Q2 (Apr-Jun),0,R296.37M,R592.73M
Free State,Unknown,2,2,74183230.0,74183230.0,148366460.0,78130229.36549239,Caution,5.7084,0.005,139,Q2 (Apr-Jun),0,R74.18M,R148.37M
Mpumalanga,Works,2,3,60000000.0,453706365.6666667,1361119097.0,733352298.7106678,Caution,5.6416,0.043,140,Q2 (Apr-Jun),0,R60.00M,R1.36B
Free State,Goods,2,4,41183226.5,65356518.75,261426075.0,77724647.76909755,Caution,5.5231,0.008,141,Q2 (Apr-Jun),0,R41.18M,R261.43M
Free State,Goods,4,2,173060590.5,173060590.5,346121181.0,181375421.52373287,Caution,5.4062,0.011,142,Q4 (Oct-Dec),0,R173.06M,R346.12M
