id,name,main_ocid,main_id,tender_id
23307,MAAA0001919 - (SITUC PROJECTS),ocds-9t57fa-67746,ocds-9t57fa-67746-2023-09-19T00:00:00Z,67746
13511,MAAA0817203,ocds-9t57fa-72117,ocds-9t57fa-72117-2023-06-13T00:00:00Z,72117
15526,Azra Developments,ocds-9t57fa-72313,ocds-9t57fa-72313-2023-10-31T00:00:00Z,72313
4603,Intercal (Pty) Ltd,ocds-9t57fa-7338,ocds-9t57fa-7338-2021-09-20T00:00:00Z,7338
19949,Brilliant Telecommunications (Pty) Ltd ,ocds-9t57fa-74031,ocds-9t57fa-74031-2023-11-14T00:00:00Z,74031
18978,SEWELARA SECURITY AND SERVICES (PTY) LTD,ocds-9t57fa-74901,ocds-9t57fa-74901-2023-11-21T00:00:00Z,74901
13728,maaa0597950,ocds-9t57fa-75421,ocds-9t57fa-75421-2023-10-10T00:00:00Z,75421
13914,BROTHERLY LOVE TRADING AND PROJECTS 113,ocds-9t57fa-77191,ocds-9t57fa-77191-2023-12-05T00:00:00Z,77191
1152,1. VST Consulting Engineers (Pty) Ltd,ocds-9t57fa-7882,ocds-9t57fa-7882-2021-09-28T00:00:00Z,7882
16920,MAAA0140144 - Memotek Trading CC,ocds-9t57fa-78963,ocds-9t57fa-78963-2024-01-23T00:00:00Z,78963
20897,AVENUE PROJECTS,ocds-9t57fa-79656,ocds-9t57fa-79656-2024-01-30T00:00:00Z,79656
14856,MAAA0001650,ocds-9t57fa-79679,ocds-9t57fa-79679-2023-10-24T00:00:00Z,79679
16826,Shonisani Rambau Construction,ocds-9t57fa-80092,ocds-9t57fa-80092-2024-02-05T00:00:00Z,80092
15114,BASIC BLUE TRADING 773,ocds-9t57fa-80186,ocds-9t57fa-80186-2023-12-05T00:00:00Z,80186
17815,Buthelezi Vilakazi Inc,ocds-9t57fa-81151,ocds-9t57fa-81151-2024-02-12T00:00:00Z,81151
17227,Badiri Consultants,ocds-9t57fa-82835,ocds-9t57fa-82835-2024-02-26T00:00:00Z,82835
17235,Xivaningi Consulting,ocds-9t57fa-82835,ocds-9t57fa-82835-2024-02-26T00:00:00Z,82835
16153,Eden Solar,ocds-9t57fa-82929,ocds-9t57fa-82929-2023-09-18T00:00:00Z,82929
3257,DGIT Architects,ocds-9t57fa-8333,ocds-9t57fa-8333-2021-10-04T00:00:00Z,8333
7767,MAAA0258339,ocds-9t57fa-8395,ocds-9t57fa-8395-2021-10-04T00:00:00Z,8395
20591,M-Theory Consulting CC,ocds-9t57fa-84668,ocds-9t57fa-84668-2024-03-12T00:00:00Z,84668
17694,Zhemveloh Enterprices,ocds-9t57fa-84678,ocds-9t57fa-84678-2024-03-12T00:00:00Z,84678
19162,MAAA0182950,ocds-9t57fa-84688,ocds-9t57fa-84688-2024-03-12T00:00:00Z,84688
24878,CB Electrical Projects Pty Ltd,ocds-9t57fa-86000,ocds-9t57fa-86000-2024-03-26T00:00:00Z,86000
20248,Alteram Solutions (Pty) Ltd,ocds-9t57fa-88794,ocds-9t57fa-88794-2024-04-30T00:00:00Z,88794
3128,AFRICAN CONVERGED NETWORKS,ocds-9t57fa-8899,ocds-9t57fa-8899-2021-10-11T00:00:00Z,8899
18866,Pachedu Skills Solutions ,ocds-9t57fa-89362,ocds-9t57fa-89362-2024-05-07T00:00:00Z,89362
19359,SSG Facilities,ocds-9t57fa-89402,ocds-9t57fa-89402-2024-05-07T00:00:00Z,89402
1066,1. HJN Pretoria (Pty) Ltd - No Offer,ocds-9t57fa-9006,ocds-9t57fa-9006-2021-10-12T00:00:00Z,9006
21438,SUPPLY AND DELIVERY OF TRAFFIC UNIFORM ONCE OFF,ocds-9t57fa-90069,ocds-9t57fa-90069-2024-05-14T00:00:00Z,90069
19219,African Web Science (PTY) LTD,ocds-9t57fa-90083,ocds-9t57fa-90083-2024-05-14T00:00:00Z,90083
20642,hi-lite stationers cc,ocds-9t57fa-90681,ocds-9t57fa-90681-2024-05-21T00:00:00Z,90681
20702,1. Actom Energy Pty Ltd  2008/001863/07,ocds-9t57fa-92546,ocds-9t57fa-92546-2024-06-11T00:00:00Z,92546
22783,MAAA0009220 - (GODISANG WILDLIFE BREEDERS),ocds-9t57fa-95331,ocds-9t57fa-95331-2024-07-16T00:00:00Z,95331
20746,GreenCape Sector Development Agency,ocds-9t57fa-95429,ocds-9t57fa-95429-2024-07-16T00:00:00Z,95429
836,The RFQ was cancelled due non compliance by bidders,ocds-9t57fa-9558,ocds-9t57fa-9558-2021-10-19T00:00:00Z,9558
5702,Gabriel and Michael Marketing (PTY) Ltd,ocds-9t57fa-9576,ocds-9t57fa-9576-2021-10-19T00:00:00Z,9576
20782,Serboan Manufacturing,ocds-9t57fa-96214,ocds-9t57fa-96214-2024-07-23T00:00:00Z,96214
22682,MAAA0036856,ocds-9t57fa-98272,ocds-9t57fa-98272-2024-08-13T00:00:00Z,98272
21428,1. Ortil Distribution 2. Light-Tech Media Solutions 3. Torgue Media 4. Matateni Projects Pty Ltd,ocds-9t57fa-99059,ocds-9t57fa-99059-2024-08-20T00:00:00Z,99059
21595,MAAA0980708 - (CYBERLINX SECURITY),ocds-9t57fa-99079,ocds-9t57fa-99079-2024-08-20T00:00:00Z,99079
22277,LUCKY EVENTS HIRE (PTY) LTD,ocds-9t57fa-99100,ocds-9t57fa-99100-2024-08-20T00:00:00Z,99100
23296,VIKISCORE (Pty) Ltd,ocds-9t57fa-99104,ocds-9t57fa-99104-2024-08-20T00:00:00Z,99104
20839,SPECTRA UPFRONT,ocds-9t57fa-99186,ocds-9t57fa-99186-2024-05-28T00:00:00Z,99186
22031,African Cables,ocds-9t57fa-102644,ocds-9t57fa-102644-2024-09-20T00:00:00Z,102644
22133,DNRLcc/trading  as Labfix ,ocds-9t57fa-104185,ocds-9t57fa-104185-2024-10-18T00:00:00Z,104185
21881,MAAA0993235 - (Ntoazifani IT Pty Ltd),ocds-9t57fa-105186,ocds-9t57fa-105186-2024-09-20T00:00:00Z,105186
22611,MAAA0688292,ocds-9t57fa-108491,ocds-9t57fa-108491-2024-11-15T00:00:00Z,108491
25983,MAAA0001965 - (WSP GROUP AFRICA),ocds-9t57fa-126344,ocds-9t57fa-126344-2025-06-27T00:00:00Z,126344
1787,LISAPHELELE INVESTMENTS JV NASE CONSTRUCTION,ocds-9t57fa-12689,ocds-9t57fa-12689-2021-11-26T00:00:00Z,12689
